question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Will Trump send the national guard to New York City by December 31?,Yes,No,0.02,4,0.85,0.86,0.87,0.84,19.04,0.04,50,0,0,0,0,0,7.66,14.71,0.09,0.11,0.1,4.5,0.01,FALSE,will-trump-send-the-national-guard-to-new-york-city-by-december-31,6527736400071571145903807983277714590043627994925909963236733230135051508689,34179431846935924183550748232468243038903291530112405021309259334749060912511,0xa34b5d2f67b52558a1abd70ce12f657c28d00639e5cdd24c6e63cf7a82e07a36
Will Michelle Bolsonaro qualify for Brazil's presidential runoff?,Yes,No,0.03,3,0.83,0.83,0.76,0.9,18.75,0.04,20,0,0,0,0,6.68,7.07,3.42,0.06,0.09,0.08,4.5,0.01,FALSE,will-michelle-bolsonaro-qualify-for-brazils-presidential-runoff,49058413537469145808340126520652205803369994566298859701509185048060495231532,64140630690092928466941220518204962244509277709814669075463957847277715979794,0x003e6ffdf25f45a8d5679831551658e1b54094187f552fc6ef4b26bca404c971
Will three people dissent the December Fed decision?,Yes,No,0.04,3,0.83,0.83,0.83,0.83,10.86,0.08,100,0,0,0,0,0,5.09,7.89,0.34,0.38,0.36,4.5,0.01,TRUE,will-three-people-dissent-the-december-fed-decision,111374731850616462054753909035811333067976926463344715537588998803267804335103,68262909101672769971466669351672376612609806510187715360378725665986580234499,0xe47e2d6ea9b9427058b2a548d94d81daeef595a02241b2402b7144f1c8c6bd67
Will Trump agree to a tariff agreement with Israel by November 30?,Yes,No,0.03,3,0.82,0.82,0.74,0.91,16.5,0.05,20,0,0,0,0,0,6.54,16.37,0.05,0.08,0.06,4.5,0.01,FALSE,will-trump-agree-to-a-tariff-agreement-with-israel-by-november-30,69019873981469710924327150310088515466912851914289071478635461951209219605024,17388176080567007497033010560465898971323511877689814874045103853736567728872,0xb062856c372be52fc467891f890f515a3e38155f2322d706521ae8a72597a28a
Will Trump meet with MrBeast in 2026?,Yes,No,0.03,3,0.81,0.81,0.78,0.84,18.01,0.04,20,0,0,0,0,0,4.14,13.87,0.11,0.14,0.12,4.5,0.01,FALSE,will-trump-meet-with-mrbeast-in-2026,48137491040098293938669890095849153698674685114628988132168968008084392678141,24748432196422796104949486974147748092690016040930881961320018270529236593218,0x498ffa5e6c0d68092e0881a59c7ea4cf4b940874fd697e22f6e25b843aa692ce
Will Laura Dern be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.03,3,0.81,0.82,0.8,0.83,0,inf,50,0,0,0,0,0,0,2.63,0.14,0.17,0.16,4.5,0.01,FALSE,will-laura-dern-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,79956293949100175238847321560835953121181214722722551328145280792722604487514,99194926531362600335762024995690114656971116842610856570336576988517424133637,0xbb0087878014e2f6ddb2a7428b54c8d5f845fd4d6520cf5fa6477c13d5c30126
Metamask FDV above $4B one day after launch?,Yes,No,0.02,5,0.8,0.84,0.6,1.07,9.12,0.09,50,0,0,0,0,0,2.05,7.07,0.17,0.19,0.18,3.5,0.01,FALSE,metamask-fdv-above-4b-one-day-after-launch,88676221230600953130642189921619099583358737701404992595512476614976486057308,70962867555721536468794820816920873482905460253708950137269131341948100258712,0xd450db2ea773df8f91797d594b15333d8e9ed2d74930ac0ffb54c123f78e3d0f
Will Zoom Communications (ZM) beat quarterly earnings?,Yes,No,0.03,5,0.8,0.82,1.03,0.62,9.76,0.08,50,0,0,0,0,0,0.89,8.87,0.91,0.94,0.92,4.5,0.01,FALSE,zm-quarterly-earnings-nongaap-eps-11-24-2025-1pt44,14740759162453500197570107123333349046948933737887728659424381191174895205438,5973833483287406878252775983093875272392465970249539075967293364662531946045,0xbc5d2d71124d51e24abe89b98f7d668c71906724dd3f557a1dbe401152fa86fc
Will Elon and DOGE cut 100-150k employees in 2025?,Yes,No,0.03,3,0.8,0.8,0.78,0.82,14.85,0.05,50,0,0,0,0,0,7.42,10.89,0.14,0.17,0.16,3.5,0.01,TRUE,will-elon-and-doge-cut-100-150k-employees-in-2025,114837792876154077827231477812569065441012485093653958610540867103854378322319,44646134933916472790133786216799502042462320991446377481364192021755518063285,0xf3260faa08170da537349f447dc4c19e30c02df0ec5c0d6ef1bbf950453dd0c2
No one announced as next James Bond?,Yes,No,0.02,3,0.79,0.79,0.77,0.81,18.93,0.04,100,0,4.75,5.55,5.97,4.64,6.16,8.14,0.4,0.42,0.41,3.5,0.01,TRUE,no-one-announced-as-next-james-bond-962,31651972441019808961685346078403610685710956924575973014923461950982284624160,28517366085749905119520362582979931306860182143397970907500918159304286947744,0x6a01c1687c781829cc90198cfd3c73f9ce64bca2a8960527868b0ad737e53f89
Will PLC win the most seats in the 2026 Colombian Senate election?,Yes,No,0.01,3,0.79,0.79,0.81,0.77,10.54,0.07,200,0,0,0,0,0,2,21.09,0.1,0.11,0.1,3.5,0.01,TRUE,will-plc-win-the-most-seats-in-the-2026-colombian-senate-election,52836056530236061731883226984989972067564676212427950006753608570646472187606,38010699947457830375708633752123808181200006019283712731386345510247297686271,0x0a59b7f3007be7e81846bf6a83e9f2adca6c061f086b936ae23f9442319f8c2f
Will DICK'S Sporting Goods (DKS) beat quarterly earnings?,Yes,No,0.01,5,0.79,0.8,0.91,0.68,10.64,0.07,50,0,0,0,0,0,0.45,10.19,0.86,0.87,0.86,4.5,0.01,FALSE,dks-quarterly-earnings-nongaap-eps-11-25-2025-2pt7,98524967832977883822747659452679948929529850215008630266466808029914443728038,96856137669983755297154317492707718637264257087339963138233781075102681420721,0x1f0ff9667bb7018d03eb91100ae6aa85ab11e969a87869caa5ab9b6ba20daf94
Will Olivia rank #1 among girl names on the SSA’s official list for 2025?,Yes,No,0.03,5,0.79,0.79,0.82,0.76,0.59,1.34,100,0,0,0,0,0,0,4.22,0.86,0.89,0.88,4.5,0.01,TRUE,will-olivia-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,33747255468874622429277450413819565623833656881527407183411729236691947709066,94869003405838743831639592204675793320259344391090654209329185405420204273760,0xe5e07c8460e955855d6d8335beafb6a0e001e8ab6b3bf02786ba2d5e53a3fd9a
Will Woodward (WWD) beat quarterly earnings?,Yes,No,0.01,5,0.79,0.79,0.74,0.84,6.55,0.12,50,0,0,0,0,0,0.39,6.16,0.83,0.84,0.84,4.5,0.01,FALSE,wwd-quarterly-earnings-gaap-eps-11-24-2025-1pt88,61688008557875107541858896201368351033550413522222265333580476341935589880757,17891408546689377688895285663132345412373476665127805385963212046251630013325,0x97264c8249d9d7218da0f022abbfe512d61e338df0279c6ec905aa46bd1f0aec
Will Microstrategy announce a Bitcoin purchase November 18-24?,Yes,No,0.01,20,0.79,0.82,0.58,1.07,16.27,0.05,50,0,0,0,1.35,2.07,7.1,7.1,0.91,0.92,0.92,3.5,0.01,FALSE,will-microstrategy-announce-a-bitcoin-purchase-november-18-24,83466151965016334365280926164650032529780251470185755035713062018559979929133,45541285857610883021930204785984109355535212974121444276555214318217688470554,0xf237e0c4ad2aec3623269819a752915becb5c094b672d190b63660364d635937
Will BJ's Wholesale Club Holdings (BJ) beat quarterly earnings?,Yes,No,0.02,5,0.78,0.78,0.79,0.78,13.83,0.06,50,8.36,4.92,3.49,3.33,2.49,1.45,9.89,0.89,0.91,0.9,4.5,0.01,FALSE,bj-quarterly-earnings-nongaap-eps-11-21-2025-1pt09,81955500224591828434749376425596555069027890982888068184129172499651137178740,78919083135844279514192238678258626617080307171785105197095719400299026802654,0xb21f7da1c064869df42d2253392303b50a652551c88393ff3c10362704fbb68d
Will Greta Lee be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.03,3,0.77,0.77,0.69,0.86,0,inf,50,0,0,0,0,0,0,1.87,0.04,0.07,0.06,4.5,0.01,FALSE,will-greta-lee-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,17291940645744705683091106887200761278424803321783462405402183878769300578474,35344957943696616865056990124446749846632550498174275711447115671792301483206,0x99b8e943c054d5bcf418664e90c0fb3142b7470e89f68a8e5c1054f4240cc15f
Will Wicked: For Good be the top grossing movie of 2025?,Yes,No,0.014,50,0.77,0.85,0.5,1.2,16.44,0.05,200,4.03,5.03,3.98,3.59,5.24,4.91,12.56,0.557,0.571,0.56,3.5,0.001,TRUE,will-wicked-for-good-be-the-top-grossing-movie-of-2025,107516807630292044096997874487388103106064958463700149740608855411786327728317,24392063984627190307257767585691140245716045207914817527470093499518405056967,0x08c8fffc2fb962e36d835621b82434b941a8a124f47558454d8eb666eeed59f9
Will Angelina LookingGlass be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.03,3,0.77,0.77,0.71,0.83,8.77,0.09,50,0,0,0,0,0,0,6.01,0.05,0.08,0.06,4.5,0.01,FALSE,will-angelina-lookingglass-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,46429280292041657319046042052121105144552430887825955871280761498306205894132,80957622699264500210261165230862085090151216283318182830824519618535410629633,0xf0a55297bf57020fd5a8dc3738cd81715879e0622527385c70277c5bd06305e1
"Will Netflix (NFLX) close above $1,040 end of November?",Yes,No,0.01,10,0.76,0.78,0.94,0.62,8.89,0.09,50,0,0,1.13,0.81,2.2,3.08,7.37,0.87,0.88,0.88,4.5,0.01,FALSE,nflx-above-1040-on-november-28-2025,50684639438442754676807950810563014589162070124558767688314982298779282167400,42909924797084676603020765690672969367290898612339764961974025354468665229206,0x11e12572ef2f81bba18acae9f8785573527f3a43d3c061c6987b7bca74dab789
Will Avatar: Fire and Ash be nominated for Best Picture at the 98th Academy Awards?,Yes,No,0.06,2,0.75,0.76,0.74,0.77,17.22,0.04,100,8.54,8.05,6.84,7.22,7.65,2.98,11.91,0.6,0.66,0.64,4.5,0.01,FALSE,will-avatar-fire-and-ash-be-nominated-for-best-picture-at-the-98th-academy-awards,26752422520921492260084934364331451025523181005583538520300009087406078763353,24022071215715052267728086599318759985446783124719692344663080017304640249087,0xda5c2a11810e424290f83975af524e94a021cd858c182ecefdca2fbb030b9793
Will MetaMask launch a token by June 30?,Yes,No,0.03,10,0.75,0.77,0.6,0.94,5.07,0.15,200,3.23,1.96,1.4,1,1.01,1.77,8,0.69,0.72,0.7,3.5,0.01,FALSE,will-metamask-launch-a-token-by-june-30,110325437323003864440364193681628128179433892752231328064623776035311134623682,77680902575693269510705775150133261883431641996305813878639196300490247886068,0x44878f202dd18a286de9235acec372e9e6e6ca2b28d269c4138fc2604c9b78a9
Will CR win the most seats in the 2026 Colombian Senate election?,Yes,No,0.03,3,0.75,0.75,0.71,0.79,3.46,0.22,200,0,0,0,0,0,0,2.37,0.04,0.07,0.06,3.5,0.01,TRUE,will-cr-win-the-most-seats-in-the-2026-colombian-senate-election,86772438800228896362477708416110401390471014036847586004529950807407089409059,88686961146201674223314402065357284527312610226574150136159921356922824614542,0x7e686c4e975ec785c37f24b9f6e189d874148fa19baa3f807960ccae80cc5d85
Will Jennifer Venditti (Marty Supreme) be nominated for Achievement in Casting at the 98th Academy Awards?,Yes,No,0.06,2,0.72,0.73,0.67,0.78,3.09,0.23,50,0,0,0,0,0,1.68,4.7,0.53,0.59,0.56,4.5,0.01,FALSE,will-jennifer-venditti-marty-supreme-be-nominated-for-achievement-in-casting-at-the-98th-academy-awards,20372335176200635852475198786251158283453212103531290858506526381411806016705,13494619705988906737947785420604473265286885085392539208615615708427302131018,0x2d0a20f208e0c7374045ed6b64bac6bd69faa89246a3430da3ef928c6ab17e76
Will Douglas Aibel & Nina Gold (Jay Kelly) be nominated for Achievement in Casting at the 98th Academy Awards?,Yes,No,0.02,2,0.5,0.5,0.45,0.55,0,inf,50,0,0,0,0,0,0,11.49,0.07,0.09,0.08,4.5,0.01,FALSE,will-douglas-aibel-nina-gold-jay-kelly-be-nominated-for-achievement-in-casting-at-the-98th-academy-awards,105308315273781210139418371103926737741297599015519140012491299480798147313900,81153825913459654255188934730618279153312513317025921819797982816015592158469,0xbd8902c15beb23ca1b3e3840029c96280a6cfd9fc91fff9c3dbeb45de248b7b1
Will Trump send the national guard to Baltimore by December 31?,Yes,No,0.02,2,0.5,0.5,0.45,0.55,16.64,0.03,50,0,0,0,0,0,9.75,8.5,0.08,0.1,0.09,4.5,0.01,FALSE,will-trump-send-the-national-guard-to-baltimore-by-december-31,99570530751550809688458378128028097210119984828234950837461473098625624668279,53963264503306809556461049030727030024256732063605824645800964352866158608224,0x2bb3ad82a68611cc82b70396dfba5166bbb4cbc8d169dda2d107c2640f5eca85
Will Bret Howe & Mary Vernieu (Wake Up Dead Man) be nominated for Achievement in Casting at the 98th Academy Awards?,Yes,No,0.01,2,0.38,0.39,0.46,0.32,1.16,0.33,50,0,0,0,0,0,0,7.56,0.29,0.3,0.3,4.5,0.01,FALSE,will-bret-howe-mary-vernieu-wake-up-dead-man-be-nominated-for-achievement-in-casting-at-the-98th-academy-awards,81851099957356689937714094056719342398369554781109569424683791042748189278865,4446956863670046704898044442398542155768367699916039602101766646619004026428,0x53e48967503ac706d74454cfff17bb1f8dd5528d237421a01896264a7ef35240
Will the Democrats win the Minnesota governor race in 2026?,Yes,No,0.01,3,0.37,0.4,0.24,0.56,2.86,0.13,100,0,0,0,0,0,0.64,18.03,0.79,0.8,0.8,3.5,0.01,TRUE,will-the-democrats-win-the-minnesota-governor-race-in-2026,9126148503694470083148381233969293708563386203943196700151133094426622508276,33576178139790676268585487625882069821783219374491053705510339906433025453375,0x086445ea07954a360aeeddc96c292160832662b0227bdc8f07bc353dd511966f
Will Elon Musk rank in Google’s Top 5 Most Searched People of 2025?,Yes,No,0.02,1,0.23,0.23,0.21,0.25,13.01,0.02,20,0,0,7.7,6,6.25,3.15,6.38,0.28,0.3,0.29,4.5,0.01,FALSE,will-elon-musk-rank-in-googles-top-5-most-searched-people-of-2025,71379583798996357544609637547738276752643242545268722192649120622840351170809,1067363602233087337518496130206567918215344238681156561563364280150184382009,0xe8134935a4426be6da24c6a9cabc661fc31c7ab48a37027bd18c300f18480710
Will NVIDIA be the largest company in the world by market cap on June 30?,Yes,No,0.01,3,0.17,0.28,0.06,0.5,10.49,0.02,20,0,4.39,5.5,3.9,3.65,3.21,3.1,0.61,0.62,0.62,4.5,0.01,TRUE,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-june-30-824,114266735877811876021362945683127542532778925409590599016489267644246881997088,29784683767660217718284600015167187155042303966390545299343573403150180359874,0x79afea6a94f0b3dffb5e0886fa1dbd740d688029f7aba351dc46911bcb1b1f95
Will Jimmy Kimmel rank in Google’s Top 5 Most Searched People of 2025?,Yes,No,0.02,1,0.07,0.08,0.04,0.12,12.69,0.01,20,0,0,2.23,1.58,1.95,1.87,28.97,0.44,0.46,0.45,4.5,0.01,FALSE,will-jimmy-kimmel-rank-in-googles-top-5-most-searched-people-of-2025,49083692747257051529196759984651375975900249245949994177279228487754159257969,59180737884525472514365921703404746206983211240066124880080881331904348656645,0xb4c1d4cc96ff16a2cb1dc8ca9b63db53b5b3260b5f0a0f687fa72d75ea571b9b
Will Bianca Censori rank in Google’s Top 5 Most Searched People of 2025?,Yes,No,0.02,1,0.06,0.06,0.06,0.06,6.54,0.01,20,0,0,2.73,2.74,3.06,1.61,7.12,0.62,0.64,0.63,3.5,0.01,FALSE,will-bianca-censori-rank-in-googles-top-5-most-searched-people-of-2025,42959028099653856150074526947072681065108996374579011621738077680196701765723,31417760118419738587095505923984056381184281805032675528332458252278502027202,0x0f4dfe035668cd6ad279370a02f50915b63046d2568574aa5e3df969424948e0
Will Kendrick Lamar rank in Google’s Top 5 Most Searched People of 2025?,Yes,No,0.01,1,0.03,0.04,0.01,0.07,5.32,0.01,20,0,0,0,0,0,2.73,9.81,0.32,0.33,0.32,4.5,0.01,FALSE,will-kendrick-lamar-rank-in-googles-top-5-most-searched-people-of-2025,81492011729216151192700782186326992626951549697068497976274568635594913128177,92274334790692472172217656020933898747411982771442351742549208482765938674648,0xd633919a130c82c29a1d189fdc62c395affd19cb5e6dd7ffe58306ad7a21ba15
