question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Will Tesla (TSLA) finish week of November 17 above $405?,Yes,No,0.01,20,3.86,3.93,3.17,4.69,92.25,0.04,20,0,0,0,2.87,30.75,30.75,30.75,0.43,0.44,0.44,4.5,0.01,FALSE,tsla-above-405-on-november-21-2025,85660817986169491944924339334303199930639770984886379288635474492295147436284,20984814206138799847497966925899976824721421442784267817697558286256850556246,0x133a2bd76ec7f5f51563c53a51842f2376662c809d037e0386f5af9bd991b884
Aztec FDV above $2B one day after launch?,Yes,No,0.04,20,3.85,4.12,5.57,2.66,150.42,0.03,50,0,0,28.95,20.67,50.14,50.14,50.14,0.15,0.19,0.17,3.5,0.01,FALSE,aztec-fdv-above-2b-one-day-after-launch,113489810238565713803051592534221770039478199734394591220643391071214196690792,51648552008628935116278131977278552035252073256668543998514613160072319175725,0xa73872328776fb3f59ad4da5b99b2d109f12f6acd9517e454df81ff0547d3de0
"Will Trump say ""President Xi"" during Saudi Investment Forum on November 19?",Yes,No,0.06,10,3.82,3.82,3.79,3.86,25.63,0.15,20,0,6.53,12.07,8.55,9.23,8.2,8.2,0.4,0.46,0.43,4.5,0.01,FALSE,will-trump-say-president-xi-during-saudi-investment-forum-on-november-19,35667858261483246769445379960615086669542999940635852491716698533518942857644,10130511819817285495708018017913665563892172665032255326499857525745994842634,0xcce0eb08b266f8b9061c38fd1f83f1a4525a0ad2218936ffba257450340c89e4
Will Palantir (PLTR) finish week of November 17 above $172?,Yes,No,0.01,20,3.81,3.83,3.46,4.2,206.25,0.02,20,0,0,0,0,68.75,68.75,68.75,0.32,0.33,0.32,4.5,0.01,FALSE,pltr-above-172-on-november-21-2025,28444717244585789531920074208159198415350728154671291714249520807549777864325,65001370729966095602075337092415550874561769007901079546915956771208267432327,0x8d59aab9ca16a7a2d3ce352af22a633c988b7684c94de238d9919bb7568b1b87
Will Google reach $300 in November?,Yes,No,0.23,10,3.79,3.94,2.87,5,98.22,0.04,50,76.92,47.55,34.39,26.6,30.16,34.48,28.3,0.58,0.81,0.7,4.5,0.01,FALSE,will-googl-reach-300-in-november,83240654256559603921037256568925620304908419307274082698694063871200840354762,106728858901551162257397909813034967954956750369227581152288150713646122743530,0xc8086914bf5048d248b8aa05791b4d3c0b271e9c321d48e8c27eba25ba1210f6
Gemini 3.0 Flash released by December 31?,Yes,No,0.01,40,3.77,3.87,4.73,3.01,40.56,0.09,20,0,0,6.77,7.76,13.52,13.52,13.52,0.88,0.89,0.88,4.5,0.01,FALSE,gemini-3pt0-flash-released-by-december-31-321-576,101126654856325123612035595967102169246859713356692109057604063837712748502264,49155564553622669169481648009639642026344742746491767129286189370988796636113,0xcc7d2919c23e00507e33848288f15fb3473e536bad6e94e355ae71e7e651ed0e
Will Rocket Lab (RKLB) close at $48-$50 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.06,10,3.77,3.77,3.72,3.82,205.85,0.02,50,30.4,18.45,26.81,21.17,97.1,54.07,54.68,0.05,0.11,0.08,4.5,0.01,TRUE,will-rklb-close-between-48-and-50-week-november-21-2025,38765395873552596922958251023473332389308217971852282732323565752288345130252,82658675368880945922816181034776970867853994536032645613013453175370108613971,0x1f307535fc123591f44c3b58adf9dc4dbc5b9cc829848a0e2011be4ce6147da5
Will Stephen Colbert be named in newly released Epstein files?,Yes,No,0.02,20,3.76,3.78,3.36,4.2,372.45,0.01,20,0,0,0,127.52,124.15,124.15,124.15,0.09,0.11,0.1,5.5,0.01,FALSE,will-stephen-colbert-be-named-in-newly-released-epstein-files,2242068176400298492061418352715563914061114187773762813780136124238064181894,26151054353982873261801554224969422186729655273221407750903218791721524875936,0xee784c8b7f486432b010dca9e45ed33bb3364edc72394331a3517c8dc2ec0c66
Will Google (GOOGL) finish week of November 17 above $280?,Yes,No,0.01,20,3.75,3.92,2.78,5.06,58.5,0.06,20,0,0,0,0,19.5,19.5,19.5,0.68,0.69,0.68,4.5,0.01,FALSE,googl-above-280-on-november-21-2025,115279858732192467530640192616371085894486218001874893216133570740911116502399,91984212813076409123637913552891774323908131862329627926080929749332576483801,0xa76dc7917b716b14343ded418a09d69e094a24430e83020b93a6410ac4fd6d27
Will Rocket Lab (RKLB) finish week of November 17 above $41?,Yes,No,0.02,20,3.75,3.79,3.24,4.34,96.3,0.04,20,0,0,2.24,1.58,32.1,32.1,32.1,0.63,0.65,0.64,4.5,0.01,FALSE,rklb-above-41-on-november-21-2025,13664880439178720654973512080842676536696375520236304960818650019739226149655,19792322821224723910760656882605425270946755449777021461872757199248512260093,0x099fe7577624e6619131f858db2a6cc20df0bcc713372ba68c5e528572d293b2
Will Palantir (PLTR) finish week of November 17 above $171?,Yes,No,0.01,20,3.73,3.74,3.41,4.07,106.83,0.03,20,0,0,0,0,35.61,35.61,35.61,0.36,0.37,0.36,4.5,0.01,FALSE,pltr-above-171-on-november-21-2025,111441259009847747972603606716958665186524577632750113181872650745497145370934,81327696602315760158048762216267191245496078054107411386211288232278537665756,0xdb38fdd9be1779b3c4c81ab9942e8eea4a06189ec518ede362a93c2d04ab6160
Will Rocket Lab (RKLB) finish week of November 17 above $40?,Yes,No,0.03,20,3.73,3.74,3.69,3.78,81,0.05,20,0,0,0,0.97,27,27,27,0.71,0.74,0.72,4.5,0.01,FALSE,rklb-above-40-on-november-21-2025,115168637096213919746439252138845539915842927556784636866761309604901101461463,15698362059357886769576580540187093149794166721382645009142217738177383588932,0xfe9c4156f250e16886a22f3205205553ef3ac4d9260dcbd236a5e656339cd7cc
Will Tom Hanks be named in newly released Epstein files?,Yes,No,0.02,20,3.7,3.74,3.2,4.28,400.89,0.01,20,0,0,17.39,137.25,133.63,133.63,133.63,0.08,0.1,0.09,5.5,0.01,FALSE,will-tom-hanks-be-named-in-newly-released-epstein-files,13833690363414442386316921024328463014239309188151728924688820325299374345863,94146467039548179744619663726413903796159399415572343930510785121093443741818,0x91c0118b36355ea743478b5fe5b9014f3c193ac62c34c24b1b77f8db9b1de04f
Will Rocket Lab (RKLB) finish week of November 17 above $37?,Yes,No,0.02,20,3.7,3.7,3.67,3.74,109.38,0.03,20,0,0,0,0.76,36.46,36.46,36.46,0.92,0.94,0.93,4.5,0.01,FALSE,rklb-above-37-on-november-21-2025,108840673368729114865144672132698067826478405291972986915202892385771440416436,103597508432127599527688372921440846521578771254907375087821921150700187838601,0xd6426582889ceb28a028fea008ff12db9dc374c86c8d5d66e2fe3e1ea1cd0015
"Will Infinex launch a token by March 31, 2026?",Yes,No,0.04,15,3.7,3.75,4.34,3.16,44.92,0.08,50,0,0,1.14,0.82,2.66,21.13,21.13,0.85,0.89,0.87,3.5,0.01,FALSE,will-infinex-launch-a-token-by-march-31-2026,54883546759326647324924102974281473303158271883187379954625063575502567410011,67434966758282013118647436587686515239916740438253629606339414581148665618881,0xa8e9ad47b9c2ea1e434acfc402335cbeb8aebe68df830f46e49f1be37d14a9b6
Will Meta (META) close above $620 end of November?,Yes,No,0.06,10,3.65,3.66,3.9,3.41,129.29,0.03,50,0,8.92,6.39,4.55,48.97,44.31,34.87,0.27,0.33,0.3,4.5,0.01,FALSE,meta-above-620-on-november-28-2025,27468811545996796804282366751428914912867485934885673677460547506707586943805,74005977830990257548481562740990897346235960423088318866888270946099897939893,0x7beb37dad8b766cf031d095ab65d4c09de0f137e82b71bdaa9dbfad4f7f92c0b
Will Ellen Degeneres be named in newly released Epstein files?,Yes,No,0.02,20,3.62,3.66,3.18,4.13,312.57,0.01,20,0,0,22.1,105.48,104.19,104.19,104.19,0.09,0.11,0.1,5.5,0.01,FALSE,will-ellen-degeneres-be-named-in-newly-released-epstein-files,5393725847579059546080693600313155722569949619725264395671125862771705628945,72605599682681596550159577326036633753668108961506481531618818062145364519032,0xd4f39fecd3c15a3936071bba95ec734cfcab895f44c7fbff4935c69167200c81
Monad market cap (FDV) >$3B one day after launch?,Yes,No,0.02,40,3.6,3.72,2.75,4.7,21.25,0.17,100,9.88,6.96,7.89,9.4,7.93,6.2,7.12,0.6,0.62,0.61,3.5,0.01,FALSE,monad-market-cap-fdv-3b-one-day-after-launch,3521185558146055272794530321557220198818390662788847164015732554215501209964,85691188220423550125042360659286079361661933516890966218343569639523064034150,0x14662889e3f5ad2a6e9d01cf00eb6e2d23e7cbc090370854df29a5631b430753
Will NVIDIA (NVDA) finish week of November 17 above $170?,Yes,No,0.02,20,3.57,3.62,3.05,4.19,67.47,0.05,20,0,0,0,0,22.49,22.49,22.49,0.81,0.83,0.82,4.5,0.01,FALSE,nvda-above-170-on-november-21-2025,47943723558176459001420534134418910462148541981749982494178640684218147984979,110222037779194028506700371749878898416570137754900635068087887283633652849283,0x141610daa4e74f16eff35663e2f5cea14a1b1ae673a33acf0404a6963a7debea
Will Airbnb reach $128 in November?,Yes,No,0.078,10,3.55,3.71,4.78,2.64,80.77,0.04,50,0,0,0,27.04,30.36,28.89,21.26,0.09,0.168,0.13,4.5,0.001,FALSE,will-abnb-reach-128-in-november,15713500992738149402233248555444879443194248318005724438829336338053516880084,94766051792786138089641862548419527654082771465906220732666946394006109213463,0x0d6b323ca924dad192fc3f2b8454e502f8b7e5d7a7c614e6536801eb53f0207b
Will Airbnb (ABNB) finish week of November 17 above $110?,Yes,No,0.02,20,3.53,3.54,3.84,3.24,93.87,0.04,20,0,0,1.14,0.82,31.29,31.29,31.29,0.86,0.88,0.87,4.5,0.01,FALSE,abnb-above-110-on-november-21-2025,110930975485157776799198378250299624438588134960331941466395949353847013397155,29462183858223976806822046499191403425837708576719376602887006860763711023364,0x23ec93f0187143416333ca5f46d96887b138739e053b81d6037e8f40acbc201f
Will Meta dip to $550 in November?,Yes,No,0.05,10,3.53,3.53,3.47,3.59,63.99,0.06,50,33.55,20.19,15.11,10.79,22.01,21.92,48.45,0.22,0.27,0.24,4.5,0.01,FALSE,will-meta-dip-to-550-in-november,91891749267987716111161132576510662651140758913499763417619084801433331643538,74255152534779924182215653357932787766539386102590065926302390004359137812306,0x19bb420a6c4a6badb6177a06df410734ad7d347f0ecf11f2dfc59554562902d1
Will Tesla dip to $375 in November?,Yes,No,0.05,10,3.5,3.5,3.45,3.55,78.32,0.04,50,12.79,8.27,9.01,10.02,12.71,27.59,42.29,0.42,0.47,0.44,4.5,0.01,FALSE,will-tsla-dip-to-375-in-november,31459310866976845227933857815446151525461499537615081364808096692518762713836,103110798990018100902896944122755948166714526821607442271196246566516945161440,0xc985904fc6e07382b0fd18e9d2061b00ec3cd623034e25dd8bbd10467522412b
Will Airbnb (ABNB) close at $110-$115 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.05,10,3.48,3.48,3.41,3.55,146.77,0.02,50,0,0,0,0,32.35,56.31,58.11,0.28,0.33,0.3,4.5,0.01,TRUE,will-abnb-close-between-110-and-115-week-november-21-2025,79103701118324794092147808492536846671254242929802068400027547817949617310870,84095632184930432709550016927969568177254367211446027074346174332477550105853,0x037185515777daf962360f389aaab1e4354261af9b3507cc60f0b8a66aab6f0a
Will Palantir (PLTR) close above $190 end of November?,Yes,No,0.05,10,3.47,3.47,3.45,3.49,101.24,0.03,50,25.77,14.88,14.38,10.17,25.96,42.9,32.13,0.11,0.16,0.14,4.5,0.01,FALSE,pltr-above-190-on-november-28-2025,20168208205396061253804084260940395984893270268739292863170874463984190434937,87104257363289720423064592052806384799842404333956018903822568461598721744843,0xe9253506abf6d0cbdbdca4b3e6b74f88db30e380faa4edb11cd4449fe87b0755
Will Amazon (AMZN) close at $235-$240 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.05,10,3.46,3.46,3.38,3.54,229.52,0.02,50,36.64,34.91,27.23,19.34,105.96,60.22,63.34,0.07,0.12,0.1,4.5,0.01,TRUE,will-amzn-close-between-235-and-240-week-november-21-2025,60339054909851362675800988062517758469925696028764569403987018164538383008241,83938699873343193984304806383787137573118025241162210553506234039863976874250,0xebeb5a3bb76540c701ed57c1cd0b4b91f3fb975c3ea672461bf2448304e3791c
Will Rocket Lab (RKLB) close at $46-$48 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.05,10,3.46,3.46,3.42,3.5,220.06,0.02,50,41.51,29.07,22.56,23.74,108.33,51.88,59.85,0.09,0.14,0.12,4.5,0.01,TRUE,will-rklb-close-between-46-and-48-week-november-21-2025,43955861423393532417905766158937253875717202713624061432729697221769894069801,267685247034724262407160986998267204553234968220243757454680129234763927451,0x792dbda088a92e93c5fe87bc998c4a8ff92d2a13db9509f2904264c387687a42
Will NVIDIA (NVDA) finish week of November 17 above $160?,Yes,No,0.01,20,3.46,3.47,3.26,3.68,104.25,0.03,20,0,0,0,2.42,34.75,34.75,34.75,0.93,0.94,0.94,4.5,0.01,FALSE,nvda-above-160-on-november-21-2025,70959741254235467011997183334602914834058650309509892250434965427279080352068,95986575225297921483127119638652919337300822548472231285991881062384944611804,0x8ba7a275f2c22e621fca7118a309f18cc7391d0009fcf5b2050d1d2d0bd1bd1d
"Will Trump say ""Abraham"" during Saudi Investment Forum on November 19?",Yes,No,0.05,10,3.45,3.46,3.38,3.53,49.99,0.07,20,7.01,4.63,8.11,13.74,14.81,17.59,17.59,0.62,0.67,0.64,4.5,0.01,FALSE,will-trump-say-abraham-during-saudi-investment-forum-on-november-19,111253517121908410201978265386867161838360538579307542999812761745808213069834,42031701703392286013150864775743578744479929979610274019479447007822283681664,0xa5cb362d7f20279f44174870044de409b50ce2838d6316df61c1f235c7b64ab0
Will MrBeast hit 104 billion views by December 31?,Yes,No,0.01,20,3.44,3.45,3.65,3.25,33.75,0.1,20,0,1.62,1.62,1.16,5.97,13.89,13.89,0.86,0.87,0.86,4.5,0.01,FALSE,will-mrbeast-hit-104-billion-views-by-december-31,28239643919300349663213325280857855082558595943018965661456566599877080385537,12644099716758079192461121044210805277012956462824272200267327112671715217004,0xc87356254bb5bddcbc03ae1c0e01cec7e0c4848dd89335e676bdda3bd20f3764
Will Tesla (TSLA) close above $430 end of November?,Yes,No,0.05,10,3.44,3.44,3.42,3.47,157.01,0.02,50,13.64,19.62,15.7,16.6,64.64,53.09,37.38,0.23,0.28,0.26,4.5,0.01,FALSE,tsla-above-430-on-november-28-2025,53518737589179731307611118059818438497313326574153647254875593381982799913735,40264576521417874129322363775247788312283484673072997412796004611614500903036,0x135609c90704130ee716b9c182d1f24dcc997187d0b516841ed10d261decd8e3
Will Amazon (AMZN) close at $225-$230 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.05,10,3.44,3.44,3.43,3.45,164.68,0.02,50,18.22,11.06,11.55,33.77,48.07,54.27,62.34,0.23,0.28,0.26,4.5,0.01,TRUE,will-amzn-close-between-225-and-230-week-november-21-2025,70702710615475037716584450704324920994052190771255311530580608511563342600196,77831839339277581826214079792008399134935432147996529232861572628674539884599,0x09ae60605606993bcb737bb02c1238c7ccb1b154a3db9791070b7df152e2a9c0
Will Palantir (PLTR) finish week of November 17 above $173?,Yes,No,0.01,20,3.43,3.44,3.75,3.13,107.67,0.03,20,0,0,0,4.91,35.89,35.89,35.89,0.29,0.3,0.3,4.5,0.01,FALSE,pltr-above-173-on-november-21-2025,36543059442604822526887947388743211063253409355611674732911324635796153141203,46321680573968410750597738415130061023015695160512735706374128621112132401620,0x8f42a21c85c4a24458804db34bc47d631ff20b281735c4f2407345cd8c0abc35
Will NVIDIA (NVDA) finish week of November 17 above $165?,Yes,No,0.02,20,3.42,3.52,2.67,4.37,109.23,0.03,20,0,0,1.6,1.13,36.41,36.41,36.41,0.87,0.89,0.88,4.5,0.01,FALSE,nvda-above-165-on-november-21-2025,7735667679062998480385869092036640076434350933097040594264554744930460824056,73157885006621235428286388858882345448484575052086371245556819100100284001565,0x1e5400484559c6331f97eb098f8cec12bb2791a52238317d8e7a28653675ed83
Will Palantir (PLTR) finish week of November 17 above $169?,Yes,No,0.01,20,3.42,3.43,3.07,3.8,35.61,0.1,20,0,0,3.26,3.26,11.87,11.87,11.87,0.43,0.44,0.44,4.5,0.01,FALSE,pltr-above-169-on-november-21-2025,102184936269225526302438626487173358142197816219374238045219935121278730326053,109576293058648123617437667487607159745612616143292856189754963900831409252866,0xc870105a2f20fe8ce0e76f91b8791470c09d3e0426c18ba928722952c48e85b8
Will Trump talk to Zohran Mamdani in November?,Yes,No,0.02,15,3.4,3.4,3.28,3.53,63.63,0.05,100,0,7.47,9.04,8.96,12.31,22.97,30.23,0.17,0.19,0.18,4.5,0.01,FALSE,will-trump-talk-to-zohran-mamdani-in-november-884-646,69599024782745196283788311950103743660605592236920025671461261483364671145028,1444164690775351342453907798598523947159271004125859408342769302088053028934,0x07ca3b3a4057685f96a4c6ea315380fca67a319fef1190faa9f164a7010729bc
Will Google Gemini 3 score at least 40% on the FrontierMath Benchmark?,Yes,No,0.02,20,3.4,3.66,5.01,2.31,35.55,0.1,100,0,2.05,2.56,3.81,14.86,9.68,14.2,0.66,0.68,0.67,4.5,0.01,FALSE,will-google-gemini-3-score-at-least-40-on-the-frontiermath-benchmark,25583645135853941481302235632973744939123748727126653796252641636868920800674,53656459544669788361409097067903169744852550514278620390313659256617784462992,0x84a098d67d9cbd709150fdbc80346e31373bf13c4e954068b52db34108ec0bf9
VOOI FDV above $1B one day after launch?,Yes,No,0.03,20,3.33,3.78,5.58,1.99,80.79,0.04,50,0,12.02,12.35,16.74,26.93,26.93,26.93,0.1,0.13,0.12,3.5,0.01,FALSE,vooi-fdv-above-1b-one-day-after-launch,85502839547856161463883299520779205357810163936616607248179436929912831496719,21590599292327530500614342600925742100875011554481036755335905968728582404751,0xe6da23ed3e2d5651b517b3305d16527bd4a3ab7ccb40781a504b808bee05bfce
Will Rocket Lab (RKLB) finish week of November 17 above $38?,Yes,No,0.01,20,3.31,3.32,3.09,3.54,101.88,0.03,20,3.84,2.22,1.91,2.08,33.96,33.96,33.96,0.9,0.91,0.9,4.5,0.01,FALSE,rklb-above-38-on-november-21-2025,103417414874930606544013334373518251552622956992148262172603942650347318005036,62199313700714601025079902705947603440576691680282554753401416887088804690340,0xef9f392199391163df753b516bda421aaef589d987e022323644795281c7fc40
Will Jara win by less than 5%?,Yes,No,0.001,40,3.29,3.5,4.7,2.31,441.54,0.01,20,0,95.79,78.56,59.45,147.18,147.18,147.18,0.012,0.013,0.01,4.5,0.001,TRUE,will-jara-win-by-less-than-10-413,12672449966875751799230322083670128375014486668713130003553234011505927158171,10626950533362432127762453122208787023016231430770598823001999076924641210034,0xfd321ea582c00d361d2acb3d7dc50d3d2705b055ec1d27978313f0bf120cd0e3
Will Apple (AAPL) close at $260-$265 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.05,10,3.28,3.3,3,3.59,113.71,0.03,50,11.11,11.52,12.42,11.19,42,33.02,38.69,0.18,0.23,0.2,4.5,0.01,TRUE,will-aapl-close-between-260-and-265-week-november-21-2025,31133888974382637911011390183177673132683135301376344046441589434581577787054,8494196723714251680944835001767152304279336010302662259151143974117602709604,0xa2062d47a4995e4ce6405be393c1f5d83941ae5e6e255bc1c54002881e850485
Will Amazon (AMZN) finish week of November 17 above $225?,Yes,No,0.01,20,3.27,3.36,4.14,2.58,10.17,0.32,20,0,0,0,0,3.39,3.39,3.39,0.45,0.46,0.46,4.5,0.01,FALSE,amzn-above-225-on-november-21-2025,66284623826682185577885854655161973678250669576812764577639393590052269617973,42465487934506779694526832092408260393808760230466066603300729380245465602164,0x5cf1d5e7c799398046f6fce61327f9dd563ec82922924cf50aa44d8f991a10c3
Will Apple (AAPL) finish week of November 17 above $265?,Yes,No,0.03,20,3.27,3.3,3.75,2.86,40.14,0.08,20,0,0,0,0,13.38,13.38,13.38,0.61,0.64,0.62,4.5,0.01,FALSE,aapl-above-265-on-november-21-2025,2054973686956831033975967726425395315979800494726994265885699518993202163675,54148235075750853537306144426160259827978752354915290019114779404117128336629,0x58a05cec818ff95bf85a26e1fe799b362f6d77d1c0881c6c657d6eb4fe46ae6b
Epstein confirmed as foreign agent in 2025?,Yes,No,0.004,150,3.22,3.25,2.79,3.71,269.07,0.01,200,0,57.77,40.85,89.69,89.69,89.69,89.69,0.041,0.045,0.04,3.5,0.001,FALSE,epstein-confirmed-as-foreign-agent-in-2025-675,66651106182836035205018792777961728749236768988391615248850781602489485543400,62239494444950484584815944080450014705160692844756963239944260988844740813691,0x04a966ee5ab8a9f0d575899cba4f6ce0551110026f85f5341e68f377a3cfbfc1
Will Apple (AAPL) close above $280 end of November?,Yes,No,0.05,10,3.21,3.22,3.16,3.27,147.33,0.02,50,22.45,12.96,10.96,7.76,46.42,53.38,45.5,0.13,0.18,0.16,4.5,0.01,FALSE,aapl-above-280-on-november-28-2025,55984849317627271339749800025979030092659495874027640412838053999924541866852,65766856719511024978559815684362562349498666607501158843901711529069993038694,0x4ded5c4024fcc6ea752b3e032b44bc4e19402eabc3844ce961aa51d9f4fe4d5f
Epstein or Maxwell confirmed Mossad operatives in 2025?,Yes,No,0.009,100,3.2,3.24,2.69,3.8,121.92,0.03,200,53.61,43.77,30.95,42.34,37.37,43.8,41.19,0.057,0.066,0.06,3.5,0.001,FALSE,epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,16716786412114110021415168711994906899777538478990882277962376110722071421066,33786871039735878365885208252608376108318292577614239816942750322742529017102,0xcc2bd8cbba68f1fe46e89445b61e2c581ea96527438889eb749a852fba647920
Will Amazon (AMZN) finish week of November 17 above $210?,Yes,No,0.03,20,3.17,3.18,3.1,3.25,107.46,0.03,20,0,0,0,0,35.82,35.82,35.82,0.91,0.94,0.92,4.5,0.01,FALSE,amzn-above-210-on-november-21-2025,43330191744768693859675426910849716183874126070189437186325148511733046908939,66442678783535413069648127951754881586665984564432543412629612161215322421442,0x2298c5701ec0e248bf247f2180bf7c52c4cb91e59c7c5bd131ebdd5eb3eabc1e
Will Jara win by at least 5%?,Yes,No,0.019,40,3.17,3.38,4.56,2.21,413.64,0.01,20,157.82,139.18,106.29,87.57,137.88,137.88,137.88,0.012,0.031,0.02,4.5,0.001,TRUE,will-jara-win-by-at-least-10-224,27257559865840208770617747665179752846696635053917888054646871077614906126104,8841635465674260550099340872843727685359806849332702362775482422775266874990,0xe7b27fd3bc63c41c7bbb471ba58a59abcb3cd3570b7bf2d5812bc92f8488d896
Will Palantir (PLTR) finish week of November 17 above $165?,Yes,No,0.02,20,3.14,3.16,3.46,2.85,43.02,0.07,20,0,0,1.58,1.61,14.34,14.34,14.34,0.62,0.64,0.63,4.5,0.01,FALSE,pltr-above-165-on-november-21-2025,30988473261946743092474580794113672475873296592144457341894832093243067663629,58644859286779420561514205325675941330923955678019706442401643913286553555309,0xf3c60be0253bd81a50905b0bd18c23c4b597bb5e140a6d5a2f13499493db376e
Will NVIDIA (NVDA) close at $180-$185 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.04,10,3.13,3.13,3.03,3.23,103.89,0.03,50,0,30.95,21.89,15.48,42.01,26.84,35.04,0.1,0.14,0.12,4.5,0.01,TRUE,will-nvda-close-between-180-and-185-week-november-21-2025,18952517128653735544513769344410074515597559669545520234904083676547305419372,79366815812359157369531270679788514070195497458232562653362358355879867628117,0xe4c75615bcad6aa4fa30115ce23d83731e52eb17b11ff3f7636e176e4be4b113
Will Rocket Lab (RKLB) close at $44-$46 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.04,10,3.11,3.11,3.03,3.19,,nan,50,0,10.01,12.96,15.01,83.36,37.68,,0.16,0.2,0.18,4.5,0.01,TRUE,will-rklb-close-between-44-and-46-week-november-21-2025,73960883831871115006418721362063488791711090473329115825674651013892091331360,94563360928691117423223812241078866868071837098300614545641444227412471176287,0x5eaa35b5dae79b39cefeb184f8393a7ef9a11fd12c0799b39d6d007c9da3057c
Over $400M committed to the Monad public sale?,Yes,No,0.02,100,3.09,3.56,1.8,5.31,25.38,0.12,20,10.6,12.33,11.26,9.13,8,8.69,8.69,0.68,0.7,0.69,3.5,0.01,FALSE,over-400m-committed-to-the-monad-public-sale-943,14212502447901373932695986684135871935804266051880921687302061690055379880889,13381326949921541597165699364493406669808285479989037075263368166849756643315,0x4ea6acab2dcda8bb2fdf50d332ea58c4178660dd77aeb3eda8746f475fbdece0
Will Netflix reach $1190 in November?,Yes,No,0.06,10,3.06,3.08,2.75,3.4,105.71,0.03,50,7.64,4.41,4.92,5.41,28.76,32.01,40.04,0.42,0.48,0.46,4.5,0.01,FALSE,will-nflx-reach-1190-in-november,79885194293075325880322268921788942029065759185053049279500022718902046761671,73368712282720463283076816036417768370790681109053265193233118702995770136672,0x058bab79c4bdf1b841694e6239629c78200cebd157141c1c2ecab151ed0b1128
Will Microsoft (MSFT) close above $510 end of November?,Yes,No,0.05,10,3.05,3.06,3.18,2.93,97.23,0.03,50,0,0,0,0,45.75,29.12,22.14,0.2,0.25,0.22,4.5,0.01,FALSE,msft-above-510-on-november-28-2025,9138234079238482729713849265210488387554153933540023723666599101353941897763,30548866835214300276918352910511162440094054035659816129056308217198368670967,0x8337ae7f51470ba5f9208df34755ac6962555b619d103c34d62cd005d0308687
Will Rocket Lab (RKLB) finish week of November 17 above $43?,Yes,No,0.01,20,3.02,3.04,2.63,3.46,4.98,0.61,20,0,0,0,0,1.66,1.66,1.66,0.47,0.48,0.48,4.5,0.01,FALSE,rklb-above-43-on-november-21-2025,29565044543009916464246705830438808911732317646939692973847313545280530796593,13533546674689679879116543402599966465267514684630566280636445386227194045630,0x42f70e32a58c0b69f1c604f5bed9962f32ce3b763b7856f9eccbe5603bcd1dec
Will Palantir (PLTR) close above $194 end of November?,Yes,No,0.04,10,3.02,3.03,2.82,3.24,87.67,0.03,50,0,0,0,0,12.38,38.71,36.17,0.06,0.1,0.08,4.5,0.01,FALSE,pltr-above-194-on-november-28-2025,109674142732823084417473235184076221737538011945707981403165468801959131751168,53979046845511666823105511462901095398063467775664743382300664605732221709574,0x7ff7b96a0de714468ec1bc3315c1799f30db5a7fb5776c8fb891b40aa3ad3160
Will Microsoft (MSFT) close at $500-$510 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.04,10,3,3,2.93,3.08,68.88,0.04,50,0,0,0,3.13,31.26,16.19,21.43,0.2,0.24,0.22,4.5,0.01,TRUE,will-msft-close-between-500-and-510-week-november-21-2025,68084548067670057197336634876796887453946011525170054036592193048178215704637,32976750572252518281493340191885128929478741921097151677064312301871226210492,0xf3c3877f633b706ff00549d70d70d624e896b41a463f0099e15efdeb299ccb98
Will the highest temperature in New York City be between 47-48°F on November 19?,Yes,No,0.04,10,2.99,3,3.01,2.98,70.83,0.04,50,36.89,34.65,38.46,30.29,24.83,23,23,0.33,0.37,0.35,3.5,0.01,TRUE,will-the-highest-temperature-in-new-york-city-be-between-47-48f-on-november-19,49174285073917396684506685120497520690472183496692950298153030766688784757005,27735974173999457665703231154812392437871699926704368135257192231639492776868,0x56738bcc1df303537beb648ad5b60cdfb784f6cb30ffdbd04d679aa8821b1966
Will Microsoft dip to $465 in November?,Yes,No,0.04,10,2.98,2.98,3.05,2.92,124.1,0.02,50,11.04,32.06,31.14,28.83,30.92,53.74,38.06,0.3,0.34,0.32,4.5,0.01,FALSE,will-msft-dip-to-465-in-november,42353092434913387071062239478662745926104780442221940133509954976331696491803,54648689645531335305475189167899979863962559021447894833130197291192696495607,0xcf5558c378352f7a244f1fa956bfc863ce6025f49110f5f38c81d77f898984ae
